species,common_name,habitat_type,sum_obs
Molothrus ater,Brown-headed Cowbird,AGRICULTURE,3445
Pheucticus melanocephalus,Black-headed Grosbeak,AGRICULTURE,3635
Agelaius phoeniceus,Red-winged Blackbird,AGRICULTURE,7382
Spinus tristis,American Goldfinch,AGRICULTURE,3975
Icterus bullockii,Bullock's Oriole,AGRICULTURE,1454
Larus occidentalis,Western Gull,BARREN/OTHER,279
Rallus limicola,Virginia Rail,BARREN/OTHER,90
Laterallus jamaicensis,Black Rail,BARREN/OTHER,16
Sitta canadensis,Red-breasted Nuthatch,CONIFER,8422
Junco hyemalis,Dark-eyed Junco,CONIFER,7946
Poecile gambeli,Mountain Chickadee,CONIFER,9254
Setophaga occidentalis,Hermit Warbler,CONIFER,9815
Piranga ludoviciana,Western Tanager,CONIFER,6940
Melospiza melodia,Song Sparrow,HARDWOOD,21980
Aphelocoma californica,California Scrub-Jay,HARDWOOD,3538
Aphelocoma californica,Western Scrub-Jay,HARDWOOD,4464
Cardellina pusilla,Wilson's Warbler,HARDWOOD,9505
Catharus ustulatus,Swainson's Thrush,HARDWOOD,9601
Sturnella neglecta,Western Meadowlark,HERBACEOUS,2152
Passerculus sandwichensis,Savannah Sparrow,HERBACEOUS,1192
Eremophila alpestris,Horned Lark,HERBACEOUS,1735
Lanius ludovicianus,Loggerhead Shrike,HERBACEOUS,158
Ammodramus savannarum,Grasshopper Sparrow,HERBACEOUS,211
Chamaea fasciata,Wrentit,SHRUB,25634
Regulus satrapa,Golden-crowned Kinglet,SHRUB,15734
Poecile rufescens,Chestnut-backed Chickadee,SHRUB,21650
Corthylio calendula,Ruby-crowned Kinglet,SHRUB,16116
Calypte anna,Anna's Hummingbird,URBAN,924
Zonotrichia leucophrys,White-crowned Sparrow,URBAN,1275
Sitta pygmaea,Pygmy Nuthatch,URBAN,339
Zonotrichia atricapilla,Golden-crowned Sparrow,URBAN,203
Pluvialis squatarola,Black-bellied Plover,WATER,38288
Calidris mauri,Western Sandpiper,WATER,312975
Tringa semipalmata,Willet,WATER,32853
Calidris alpina,Dunlin,WATER,184847
Calidris minutilla,Least Sandpiper,WATER,63043
